Ref,Val,Package,PosX,PosY,Rot,Side
"J5","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-12.5000,180.0,bottom
"C15","22uF_25V","C_0805_2012Metric",30.3500,-14.5000,0.0,bottom
"C10","22uF_25V","C_0805_2012Metric",20.2250,-14.3875,0.0,bottom
"IGNORE13","5V","BoardText",41.2670,-18.8100,0.0,bottom
"IGNORE11","Servo8","BoardText",27.9239,-28.7500,90.0,bottom
"IGNORE14","DATA","BoardText",41.2670,-17.3100,0.0,bottom
"IGNORE9","Servo6","BoardText",30.9239,-28.7500,90.0,bottom
"IGNORE5","Servo2","BoardText",16.9000,-18.9500,90.0,bottom
"C12","22uF_25V","C_0805_2012Metric",24.2000,-14.3875,0.0,bottom
"IGNORE12","GND","BoardText",41.2670,-20.3100,0.0,bottom
"J7","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-12.5000,0.0,bottom
"C4","22uF_25V","C_0805_2012Metric",18.2000,-14.3875,0.0,bottom
"IGNORE7","Servo4","BoardText",26.1750,-18.8475,90.0,bottom
"C14","22uF_25V","C_0805_2012Metric",28.3750,-14.5000,0.0,bottom
"C13","22uF_25V","C_0805_2012Metric",26.4000,-14.5000,0.0,bottom
"IGNORE8","Servo5","BoardText",32.4239,-28.7500,90.0,bottom
"C11","22uF_25V","C_0805_2012Metric",22.2000,-14.3875,0.0,bottom
"IGNORE10","Servo7","BoardText",29.4239,-28.7500,90.0,bottom
"C16","22uF_25V","C_0805_2012Metric",32.3750,-14.5125,0.0,bottom
"IGNORE6","Servo3","BoardText",21.6500,-18.8000,90.0,bottom
"IGNORE4","Servo1","BoardText",12.2000,-18.8500,90.0,bottom
