Designator,Footprint,Mid X,Mid Y,TB,Rotation
C9,C_0402_1005Metric,637.794mil,-339.763mil,T,180
U1,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1106.297mil,-133.858mil,T,0
J1,FFC_connector_16p_hinge_lock,177.165mil,-492.125mil,T,180
C1,C_0402_1005Metric,1580.705mil,-74.803mil,T,90
J2,PinHeader_2x03_P2.54mm_Vertical_SMD,882.675mil,-724.014mil,T,180
J11,FFC_connector_16p_hinge_lock,1949.996mil,-498.03mil,T,0
C2,C_0402_1005Metric,1287.399mil,-145.669mil,T,180
C5,C_0402_1005Metric,1330.706mil,-171.259mil,T,0
C26,C_0402_1005Metric,1375.982mil,-413.385mil,T,180
R13,R_0402_1005Metric,1148.029mil,-427.164mil,T,-90
J3,TerminalBlock_2P_3.5mm,759.841mil,-138.189mil,T,0
C8,C_0402_1005Metric,438.976mil,-388.976mil,T,180
U2,SOT-23-5,537.4mil,-373.228mil,T,-90
C3,C_0402_1005Metric,1659.445mil,-72.835mil,T,-90
J8,PinHeader_2x03_P2.54mm_Vertical_SMD,1664.17mil,-724.014mil,T,180
U4,LQFP-48_7x7mm_P0.5mm,1606.296mil,-309.054mil,T,-90
R14,R_0402_1005Metric,1144.88mil,-303.149mil,T,-90
J6,PinHeader_2x03_P2.54mm_Vertical_SMD,1274.407mil,-724.014mil,T,180
R12,R_0402_1005Metric,1145.667mil,-385.826mil,T,-90
R11,R_0402_1005Metric,1146.061mil,-344.487mil,T,-90
J10,TerminalBlock_2P_3.5mm,433.07mil,-138.189mil,T,0
J9,PinHeader_2x03_P2.54mm_Vertical_SMD,492.125mil,-724.014mil,T,180
C6,C_0402_1005Metric,1350.785mil,-100.393mil,T,-90
R5,R_1210_3225Metric,903.541mil,-399.999mil,T,90
R6,R_1210_3225Metric,773.62mil,-399.999mil,T,90
J5,01x06_2.54mm_Male,318.897mil,-492.125mil,B,180
C15,C_0805_2012Metric,1194.88mil,-570.865mil,B,0
C10,C_0805_2012Metric,796.061mil,-566.141mil,B,0
C12,C_0805_2012Metric,952.754mil,-566.141mil,B,0
J7,01x06_2.54mm_Female,1866.138mil,-492.125mil,B,0
C4,C_0805_2012Metric,716.534mil,-566.141mil,B,0
C14,C_0805_2012Metric,1116.927mil,-570.865mil,B,0
C13,C_0805_2012Metric,1039.368mil,-570.865mil,B,0
C11,C_0805_2012Metric,874.014mil,-566.141mil,B,0
C16,C_0805_2012Metric,1274.407mil,-571.259mil,B,0
