"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C1,C2,C26,C8";"C_0402_1005Metric";5;"4.7uF";
2;"U1";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias";1;"DRV8833PWP";
3;"J1,J11";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
4;"H4,H3,H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";4;"M2.5MountingHole";
5;"IGNORE2";"BoardText";1;"Motor 0";
6;"J2,J8,J6,J9";"PinHeader_2x03_P2.54mm_Vertical_SMD";4;"Conn_02x03_Odd_Even";
7;"IGNORE3";"BoardText";1;"Motor 1";
8;"C5";"C_0402_1005Metric";1;"0.1uF_50V";
9;"R13,R14,R12,R11";"R_0402_1005Metric";4;"75R";
10;"J3,J10";"TerminalBlock_2P_3.5mm";2;"TerminalBlock_2P_3.5mm";
11;"IGNORE1";"BoardText";1;"Motor v0.7";
12;"J4";"swd_header";1;"swd_4pin";
13;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
14;"C3";"C_0402_1005Metric";1;"0.1uF";
15;"U4";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8T6";
16;"C6";"C_0402_1005Metric";1;"2.2uF";
17;"R5,R6";"R_1210_3225Metric";2;"0.2R";
18;"J5";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
19;"C15,C10,C12,C4,C14,C13,C11,C16";"C_0805_2012Metric";8;"22uF_25V";
20;"IGNORE13";"BoardText";1;"5V";
21;"IGNORE11";"BoardText";1;"Servo8";
22;"IGNORE14";"BoardText";1;"DATA";
23;"IGNORE9";"BoardText";1;"Servo6";
24;"IGNORE5";"BoardText";1;"Servo2";
25;"IGNORE12";"BoardText";1;"GND";
26;"J7";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
27;"IGNORE7";"BoardText";1;"Servo4";
28;"IGNORE8";"BoardText";1;"Servo5";
29;"IGNORE10";"BoardText";1;"Servo7";
30;"IGNORE6";"BoardText";1;"Servo3";
31;"IGNORE4";"BoardText";1;"Servo1";
