Item #,Designator,Qty,Manufacturer,Mfg Part #,Package/Footprint,LCSC Part Number,Description / Value
1,"C9,C1,C2,C26,C8",5,Samsung,CL05A475MP5NRNC,C_0402_1005Metric,C23733,4.7uF
2,U1,1,,DRV8833PWPR,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C50506,DRV8833PWP
3,"J1,J11",2,JUSHUO,AFC01-S16FCA-00,FFC_connector_16p_hinge_lock,C262665,FFC_connector_16p_hinge_lock
6,"J2,J8,J6,J9",4,,02x03_SMT_pin_header,PinHeader_2x03_P2.54mm_Vertical_SMD,C22438447,Conn_02x03_Odd_Even
8,C5,1,Murata Electronics,GRM155R71H104KE14D,C_0402_1005Metric,C77020,0.1uF_50V
9,"R13,R14,R12,R11",4,,0402WGF750JTCE,R_0402_1005Metric,C25133,75R
10,"J3,J10",2,DIBO,DB125-3.5-2P-GN-S,TerminalBlock_2P_3.5mm,C466970,TerminalBlock_2P_3.5mm
13,U2,1,Nanjing Micro One Elec,ME6211C33M5G-N,SOT-23-5,C81233,ME6211C33M5G-N
14,C3,1,Samsung,CL05B104KO5NNNC,C_0402_1005Metric,C1525,0.1uF
15,U4,1,STMicroelectronics,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,C8734,STM32F103C8T6
16,C6,1,Samsung,CL05A225MQ5NSNC,C_0402_1005Metric,C12530,2.2uF
17,"R5,R6",2,Uniroyal Elec,1210W2F200LT5E,R_1210_3225Metric,C52362,0.2R
18,J5,1,,X6511WRS-06H-C60D48,01x06_2.54mm_Male,C5242199,01x06_2.54mm_Male
19,"C15,C10,C12,C4,C14,C13,C11,C16",8,Samsung,CL21A226MAYNNNE,C_0805_2012Metric,C602037,22uF_25V
26,J7,1,,X6511FRS-06-C85D30,01x06_2.54mm_Female,C5142239,01x06_2.54mm_Female
