Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",20.0700,-33.2250,180.0,bottom
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,bottom
"J3","FFC_connector_22p_dual_sided","FFC_connector_22p_hinge_lock",34.2600,-28.5450,-90.0,bottom
"J2","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",50.5000,-12.5000,0.0,bottom
"C8","4.7uF","C_0402_1005Metric",15.0700,-32.3600,180.0,bottom
"U2","ME6211C33M5G-N","SOT-23-5",17.5700,-32.7600,90.0,bottom
"R2","75R","R_0402_1005Metric",19.0200,-17.6750,0.0,bottom
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",19.0400,-24.9900,0.0,bottom
"R3","75R","R_0402_1005Metric",21.4400,-17.6350,0.0,bottom
"C2","4.7uF","C_0402_1005Metric",14.3300,-26.1450,0.0,bottom
"R4","75R","R_0402_1005Metric",20.2700,-17.6750,0.0,bottom
"R1","75R","R_0402_1005Metric",13.9800,-19.7250,0.0,bottom
"Q2","N_MOSFET","SOT-23",26.1900,-31.0400,0.0,bottom
"C1","0.1uF","C_0402_1005Metric",14.3300,-24.1350,180.0,bottom
"R5","10R","R_0402_1005Metric",29.5400,-31.7100,-90.0,bottom
"R7","10K","R_0402_1005Metric",23.5900,-32.1400,180.0,bottom
