"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"IGNORE1";"BoardText";1;"Screen v0.1";
2;"U1";"2InchScreen";1;"ScreenOutline";
3;"J4";"swd_header";1;"swd_4pin";
4;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
5;"C9,C8,C2";"C_0402_1005Metric";3;"4.7uF";
6;"J1,J2";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
7;"J3";"FFC_connector_22p_hinge_lock";1;"FFC_connector_22p_dual_sided";
8;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
9;"R2,R3,R4,R1";"R_0402_1005Metric";4;"75R";
10;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
11;"Q2";"SOT-23";1;"N_MOSFET";
12;"C1";"C_0402_1005Metric";1;"0.1uF";
13;"R5";"R_0402_1005Metric";1;"10R";
14;"R7";"R_0402_1005Metric";1;"10K";
