Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2",C_0402_1005Metric,C23733
FFC_connector_22p_dual_sided,J3,FFC_connector_22p_hinge_lock,C557729
FFC_connector_16p_hinge_lock,"J5,J6",FFC_connector_16p_hinge_lock,C262665
ME6211C33M5G-N,U2,SOT-23-5,C81233
75R,"R2,R3,R4,R1",R_0402_1005Metric,C25133
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
N_MOSFET,Q2,SOT-23,C8545
0.1uF,C1,C_0402_1005Metric,C1525
01x06_2.54mm_Female,J2,01x06_2.54mm_Female,C5142239
10R,R5,R_0402_1005Metric,C25077
01x06_2.54mm_Male,J1,01x06_2.54mm_Male,C5242199
10K,R7,R_0402_1005Metric,C25744
