Ref,Val,Package,PosX,PosY,Rot,Side
IGNORE1,Screen v0.5,BoardText,43.2250,-53.1250,0.0,top
J4,swd_4pin,swd_header,5.8500,-52.6000,90.0,top
U1,ScreenOutline,2InchScreen,27.0000,-27.0000,180.0,top
H2,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,51.5000,-2.5500,0.0,top
H4,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,51.5000,-51.5000,0.0,top
H1,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,2.5000,-51.5000,0.0,top
H3,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,2.5000,-2.5000,0.0,top
Ref,Val,Package,PosX,PosY,Rot,Side
C9,4.7uF,C_0402_1005Metric,20.0700,-31.7250,180.0,bottom
J3,FFC_connector_22p_dual_sided,FFC_connector_22p_hinge_lock,34.2600,-27.0450,-90.0,bottom
J5,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,47.0000,-41.5000,0.0,bottom
C8,4.7uF,C_0402_1005Metric,15.0700,-30.8600,180.0,bottom
U2,ME6211C33M5G-N,SOT-23-5,17.5700,-31.2600,90.0,bottom
R2,75R,R_0402_1005Metric,18.5250,-18.5150,0.0,bottom
J6,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,8.6000,-41.5000,180.0,bottom
U3,STM32G030F6P6,TSSOP-20_4.4x6.5mm_P0.65mm,19.0400,-23.4900,0.0,bottom
R3,75R,R_0402_1005Metric,20.9450,-18.4750,0.0,bottom
C2,4.7uF,C_0402_1005Metric,14.3300,-24.6450,0.0,bottom
R4,75R,R_0402_1005Metric,19.7750,-18.5150,0.0,bottom
R1,75R,R_0402_1005Metric,13.9800,-18.2250,0.0,bottom
Q2,N_MOSFET,SOT-23,26.1900,-29.5400,0.0,bottom
C1,0.1uF,C_0402_1005Metric,14.3300,-22.6350,180.0,bottom
J2,01x06_2.54mm_Female,01x06_2.54mm_Female,53.1000,-12.5000,0.0,bottom
R5,10R,R_0402_1005Metric,29.5400,-30.2100,-90.0,bottom
J1,01x06_2.54mm_Male,01x06_2.54mm_Male,2.5000,-12.5000,180.0,bottom
R7,10K,R_0402_1005Metric,23.5900,-30.6400,180.0,bottom
