Designator,Footprint,Mid X,Mid Y,TB,Rotation
C9,C_0402_1005Metric,738.188mil,-885.038mil,T,0
C6,C_0402_1005Metric,78.346mil,-165.354mil,T,180
R12,R_0402_1005Metric,700.786mil,-799.211mil,T,90
R9,R_0402_1005Metric,671.259mil,-860.235mil,T,90
C7,C_0402_1005Metric,398.031mil,-139.763mil,T,0
R7,R_0402_1005Metric,353.936mil,-60.236mil,T,180
J3,FFC_connector_16p_hinge_lock,807.085mil,-492.125mil,T,0
R8,R_0402_1005Metric,122.834mil,-85.039mil,T,0
R10,R_0402_1005Metric,124.015mil,-166.535mil,T,0
C5,C_0402_1005Metric,397.637mil,-246.062mil,T,180
R11,R_0402_1005Metric,354.33mil,-140.157mil,T,180
C8,C_0402_1005Metric,935.037mil,-850.786mil,T,0
U6,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,492.125mil,-280.314mil,T,90
U2,SOT-23-5,836.612mil,-866.534mil,T,90
R2,R_0402_1005Metric,307.086mil,-687.006mil,T,-90
U3,TSSOP-20_4.4x6.5mm_P0.65mm,502.361mil,-693.699mil,T,180
R3,R_0402_1005Metric,313.779mil,-517.322mil,T,180
C2,C_0402_1005Metric,687.794mil,-739.369mil,T,180
R4,R_0402_1005Metric,310.629mil,-631.889mil,T,-90
R1,R_0402_1005Metric,687.794mil,-577.558mil,T,180
C3,C_0402_1005Metric,590.156mil,-72.835mil,T,0
C1,C_0402_1005Metric,687.794mil,-660.235mil,T,0
C4,C_0402_1005Metric,401.574mil,-58.268mil,T,180
U1,LTR-381RGB,679.92mil,-79.134mil,T,0
U5,SOT-23-5,241.732mil,-141.732mil,T,180
J5,FFC_connector_16p_hinge_lock,177.165mil,-492.125mil,T,180
C10,C_0402_1005Metric,542.519mil,-179.133mil,T,-90
U4,SMD-4P-2.8x1.9mm,512.204mil,-79.921mil,T,0
J1,01x06_2.54mm_Male,318.897mil,-492.125mil,B,180
J2,01x06_2.54mm_Female,724.408mil,-492.125mil,B,0
