"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C5,C8,C2,C3,C4,C10";"C_0402_1005Metric";7;"4.7uF";
2;"C6";"C_0402_1005Metric";1;"1uF";
3;"R12,R9";"R_0402_1005Metric";2;"10K";
4;"C7";"C_0402_1005Metric";1;"27pF";
5;"R7";"R_0402_1005Metric";1;"4.7K";
6;"J3,J5";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
7;"R8,R10";"R_0402_1005Metric";2;"22K";
8;"IGNORE1";"BoardText";1;"LightSound v0.7";
9;"R11";"R_0402_1005Metric";1;"300K";
10;"J4";"swd_header";1;"swd_4pin";
11;"U6";"LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y";1;"LIS3DHTR";
12;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
13;"R2,R3,R4,R1";"R_0402_1005Metric";4;"75R";
14;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
15;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
16;"C1";"C_0402_1005Metric";1;"0.1uF";
17;"U1";"LTR-381RGB";1;"LTR-381RGB";
18;"U5";"SOT-23-5";1;"op_amp_mcp6001";
19;"U4";"SMD-4P-2.8x1.9mm";1;"LMA2718T421";
20;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
21;"J2";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
