Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C5,C8,C2,C3,C4,C10",C_0402_1005Metric,C23733
1uF,C6,C_0402_1005Metric,C52923
10K,"R12,R9",R_0402_1005Metric,C25744
27pF,C7,C_0402_1005Metric,C1557
4.7K,R7,R_0402_1005Metric,C25900
FFC_connector_16p_hinge_lock,"J3,J5",FFC_connector_16p_hinge_lock,C262665
22K,"R8,R10",R_0402_1005Metric,C25768
300K,R11,R_0402_1005Metric,C25774
LIS3DHTR,U6,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,C15134
ME6211C33M5G-N,U2,SOT-23-5,C81233
75R,"R2,R3,R4,R1",R_0402_1005Metric,C25133
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
0.1uF,C1,C_0402_1005Metric,C1525
LTR-381RGB,U1,LTR-381RGB,C2944020
op_amp_mcp6001,U5,SOT-23-5,C5145245
LMA2718T421,U4,SMD-4P-2.8x1.9mm,C5373232
01x06_2.54mm_Male,J1,01x06_2.54mm_Male,C5242199
01x06_2.54mm_Female,J2,01x06_2.54mm_Female,C5142239
