Item #,Designator,Qty,Manufacturer,Mfg Part #,Package/Footprint,LCSC Part Number,Description / Value
1,"C9,C5,C8,C2,C3,C4,C10",7,Samsung,CL05A475MP5NRNC,C_0402_1005Metric,C23733,4.7uF
2,C6,1,Samsung,CL05A105KA5NQNC,C_0402_1005Metric,C52923,1uF
3,"R12,R9",2,,,R_0402_1005Metric,C25744,10K
4,C7,1,,0402CG270J500NT,C_0402_1005Metric,C1557,27pF
5,R7,1,,0402WGF4701TCE,R_0402_1005Metric,C25900,4.7K
6,"J3,J5",2,JUSHUO,AFC01-S16FCA-00,FFC_connector_16p_hinge_lock,C262665,FFC_connector_16p_hinge_lock
7,"R8,R10",2,,,R_0402_1005Metric,C25768,22K
9,R11,1,,0402WGF3003TCE,R_0402_1005Metric,C25774,300K
11,U6,1,STMicroelectronics,LIS3DHTR,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,C15134,LIS3DHTR
12,U2,1,Nanjing Micro One Elec,ME6211C33M5G-N,SOT-23-5,C81233,ME6211C33M5G-N
13,"R2,R3,R4,R1",4,,0402WGF750JTCE,R_0402_1005Metric,C25133,75R
15,U3,1,STMicroelectronics,STM32G030F6P6TR,TSSOP-20_4.4x6.5mm_P0.65mm,C529330,STM32G030F6P6
16,C1,1,Samsung,CL05B104KO5NNNC,C_0402_1005Metric,C1525,0.1uF
17,U1,1,Lite-On,LTR-381RGB-WA,LTR-381RGB,C2944020,LTR-381RGB
18,U5,1,,MCP6001AIDBVRG,SOT-23-5,C5145245,op_amp_mcp6001
19,U4,1,,LMA2718T421,SMD-4P-2.8x1.9mm,C5373232,LMA2718T421
20,J1,1,,X6511WRS-06H-C60D48,01x06_2.54mm_Male,C5242199,01x06_2.54mm_Male
21,J2,1,,X6511FRS-06-C85D30,01x06_2.54mm_Female,C5142239,01x06_2.54mm_Female
