Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",38.9500,-2.9350,180.0,bottom
"C10","220pF","C_0402_1005Metric",14.2500,-10.4000,180.0,bottom
"R7","75R","R_0402_1005Metric",38.2800,-11.4800,-90.0,bottom
"R4","75R","R_0402_1005Metric",37.2500,-5.8000,-90.0,bottom
"R9","75R","R_0402_1005Metric",38.2150,-12.6500,-90.0,bottom
"J1","01x06_2.54mm_Male","01x06_2.54mm_Male",7.6000,-12.5000,180.0,bottom
"R6","75R","R_0402_1005Metric",38.2150,-10.3000,-90.0,bottom
"J3","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-12.5000,0.0,bottom
"C11","4.7uF","C_0402_1005Metric",34.0000,-7.8050,180.0,bottom
"C4","220pF","C_0402_1005Metric",14.6500,-8.8500,-90.0,bottom
"C8","4.7uF","C_0402_1005Metric",43.9500,-3.8000,0.0,bottom
"C12","4.7uF","C_0402_1005Metric",17.9500,-7.9500,-90.0,bottom
"U2","ME6211C33M5G-N","SOT-23-5",41.4500,-3.4000,-90.0,bottom
"R2","750K","R_0402_1005Metric",23.6500,-8.4000,90.0,bottom
"C15","0.1uF","C_0402_1005Metric",35.2000,-8.8000,0.0,bottom
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",29.1500,-8.6925,180.0,bottom
"U1","MAX98357AEWL+T","WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm",17.8500,-10.3500,180.0,bottom
