Designator,Mid X,Mid Y,Layer,Rotation
C9,16.83mm,-17.9mm,Bottom,0
C10,31.51mm,-2.5mm,Bottom,0
J6,41.42mm,-10.0mm,Bottom,270
C5,12.75mm,-9.5mm,Bottom,90
R4,25.64mm,-17.73mm,Bottom,180
R9,25.92mm,-13.17mm,Bottom,180
J1,7.6mm,-12.5mm,Bottom,90
J3,47.9mm,-12.5mm,Bottom,270
C3,26.37mm,-15.76mm,Bottom,90
C1,24.04mm,-9.29mm,Bottom,0
U5,31.88mm,-14.71mm,Bottom,90
R10,25.92mm,-12.13mm,Bottom,180
C4,26.8mm,-2.92mm,Bottom,270
C8,17.7mm,-12.9mm,Bottom,180
C7,25.94mm,-14.24mm,Bottom,180
C6,22.43mm,-8.54mm,Bottom,270
J5,14.0mm,-4.25mm,Bottom,180
U2,17.3mm,-15.4mm,Bottom,180
R2,30.56mm,-9.01mm,Bottom,180
U4,31.87mm,-6.36mm,Bottom,180
R1,23.49mm,-7.58mm,Bottom,270
C2,28.88mm,-6.2mm,Bottom,270
LS1,30.75mm,-14.25mm,Bottom,270
R3,20.51mm,-7.25mm,Bottom,180
R11,25.94mm,-11.04mm,Bottom,180
U1,16.88mm,-9.77mm,Bottom,270
