"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"H3,H4,H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";4;"M2.5MountingHole";
2;"J12,J13,J6";"FFC_connector_16p_hinge_lock";3;"FFC_connector_16p_hinge_lock";
3;"IGNORE1";"BoardText";1;"Speaker v0.6";
4;"J4";"swd_header";1;"swd_4pin";
5;"J2,J5";"Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal";2;"2p_picoblade";
6;"TP1";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"TestPoint_2Pole";
7;"C9,C5,C3,C8,C2";"C_0402_1005Metric";5;"4.7uF";
8;"C10,C4";"C_0402_1005Metric";2;"220pF";
9;"R4,R9,R10,R1,R11";"R_0402_1005Metric";5;"75R";
10;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
11;"J3";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
12;"C1,C7,C6";"C_0402_1005Metric";3;"0.1uF";
13;"U5";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
14;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
15;"R2";"R_0402_1005Metric";1;"750K";
16;"U4";"QFN50P300X300X80-17N";1;"MAX98357AETE+T";
17;"LS1";"Speaker_20x30";1;"Speaker_20x30";
18;"R3";"R_0402_1005Metric";1;"10K";
19;"U1";"MSOP-8_3x3mm_P0.65mm";1;"PAM8302AAS";
