Comment,Designator,Footprint,LCSC Part Number
FFC_connector_16p_hinge_lock,"J12,J13,J6",FFC_connector_16p_hinge_lock,C262665
2p_picoblade,"J2,J5",Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,C189700
4.7uF,"C9,C5,C3,C8,C2",C_0402_1005Metric,C23733
220pF,"C10,C4",C_0402_1005Metric,C1530
75R,"R4,R9,R10,R1,R11",R_0402_1005Metric,C25133
01x06_2.54mm_Male,J1,01x06_2.54mm_Male,C5242199
01x06_2.54mm_Female,J3,01x06_2.54mm_Female,C5142239
0.1uF,"C1,C7,C6",C_0402_1005Metric,C1525
STM32G030F6P6,U5,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
ME6211C33M5G-N,U2,SOT-23-5,C81233
750K,R2,R_0402_1005Metric,C43291
MAX98357AETE+T,U4,QFN50P300X300X80-17N,C910544
Speaker_20x30,LS1,Speaker_20x30,C28642278
10K,R3,R_0402_1005Metric,C25744
PAM8302AAS,U1,MSOP-8_3x3mm_P0.65mm,C113367
