Designator,Mid X,Mid Y,Layer,Rotation
J12,5.14mm,-12.5mm,Top,90
J2,12.35mm,-4.03mm,Top,180
C9,16.83mm,-17.9mm,Bottom,0
C10,31.51mm,-2.5mm,Bottom,0
C7,44.11mm,-8.08mm,Bottom,180
C5,13.07mm,-9.63mm,Bottom,90
R4,49.08mm,-16.68mm,Bottom,0
R9,49.04mm,-14.53mm,Bottom,0
J1,7.6mm,-12.5mm,Bottom,90
C3,48.19mm,-19.49mm,Bottom,90
C1,46.66mm,-8.2mm,Bottom,0
C11,41.09mm,-23.68mm,Bottom,180
R10,36.19mm,-23.68mm,Bottom,180
C4,26.8mm,-2.92mm,Bottom,270
C17,22.14mm,-10.22mm,Bottom,180
C8,17.7mm,-12.9mm,Bottom,180
C6,48.03mm,-4.5mm,Bottom,0
J5,14.0mm,-4.25mm,Bottom,180
C12,38.61mm,-23.66mm,Bottom,0
R8,20.5mm,-7.3mm,Bottom,180
U2,17.3mm,-15.4mm,Bottom,180
R2,30.56mm,-9.01mm,Bottom,180
U4,31.87mm,-6.36mm,Bottom,180
R1,46.75mm,-6.95mm,Bottom,0
C2,28.88mm,-6.2mm,Bottom,270
C18,22.03mm,-11.43mm,Bottom,180
C13,46.3mm,-5.15mm,Bottom,90
R3,45.1mm,-2.75mm,Bottom,270
R11,49.01mm,-15.58mm,Bottom,0
R5,48.0mm,-5.75mm,Bottom,0
U5,16.99mm,-9.83mm,Bottom,270
C14,45.1mm,-5.95mm,Bottom,90
U3,40.27mm,-16.0mm,Bottom,180
U1,40.19mm,-4.21mm,Bottom,270
