Designator,Footprint,Mid X,Mid Y,TB,Rotation
J12,FFC_connector_16p_hinge_lock,202.362mil,-492.125mil,T,180
J13,FFC_connector_16p_hinge_lock,1944.878mil,-492.125mil,T,0
J2,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,486.219mil,-158.661mil,T,-90
C9,C_0402_1005Metric,662.597mil,-704.723mil,B,-90
C10,C_0402_1005Metric,1240.549mil,-98.425mil,B,-90
J6,FFC_connector_16p_hinge_lock,1630.705mil,-393.7mil,B,180
C5,C_0402_1005Metric,501.967mil,-374.015mil,B,0
R4,R_0402_1005Metric,1009.447mil,-698.03mil,B,90
R9,R_0402_1005Metric,1020.47mil,-518.503mil,B,90
J1,01x06_2.54mm_Male,299.212mil,-492.125mil,B,180
J3,01x06_2.54mm_Female,1885.823mil,-492.125mil,B,0
C3,C_0402_1005Metric,1038.187mil,-620.471mil,B,0
C1,C_0402_1005Metric,946.455mil,-365.747mil,B,-90
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1255.116mil,-579.133mil,B,0
R10,R_0402_1005Metric,1020.47mil,-477.558mil,B,90
C4,C_0402_1005Metric,1055.116mil,-114.96mil,B,180
C8,C_0402_1005Metric,696.849mil,-507.873mil,B,90
C7,C_0402_1005Metric,1021.258mil,-560.629mil,B,90
C6,C_0402_1005Metric,883.069mil,-336.22mil,B,180
J5,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,551.18mil,-167.322mil,B,90
U2,SOT-23-5,681.101mil,-606.298mil,B,0
R2,R_0402_1005Metric,1203.147mil,-354.724mil,B,90
U4,QFN50P300X300X80-17N,1254.722mil,-250.393mil,B,90
R1,R_0402_1005Metric,924.801mil,-298.425mil,B,180
C2,C_0402_1005Metric,1137.006mil,-244.094mil,B,180
LS1,Speaker_20x30,1210.627mil,-561.022mil,B,180
R3,R_0402_1005Metric,807.479mil,-285.433mil,B,90
R11,R_0402_1005Metric,1021.258mil,-434.645mil,B,90
U1,MSOP-8_3x3mm_P0.65mm,664.566mil,-384.645mil,B,180
