Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C2,C8,C3,C5,C1",C_0402_1005Metric,C23733
100R,R3,R_0402_1005Metric,C25076
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
10K,"R9,R10,R11,R8",R_0402_1005Metric,C25744
12pF,"C6,C7",C_0402_1005Metric,C1547
STM32F103C8T6,U1,LQFP-48_7x7mm_P0.5mm,C2969777
0R,"R7,R4,R5,R6",R_0402_1005Metric,C17168
ME6211C33M5G-N,U2,SOT-23-5,C82942
5.1K,"R2,R1",R_0402_1005Metric,C25905
USBLC6-4SC6,IC1,SOT-23-6,C558419
0.1uF,C4,C_0402_1005Metric,C1525
Crystal_16M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
USB_C_connector_16P,J2,USB_C_Receptacle_16P,C319148
