Ref,Val,Package,PosX,PosY,Rot,Side
C9,4.7uF,C_0402_1005Metric,19.1250,-22.0400,0.0,top
C2,4.7uF,C_0402_1005Metric,8.6000,-9.2750,90.0,top
R12,1.5K,R_0402_1005Metric,17.9000,-7.4250,0.0,top
C6,12pF,C_0402_1005Metric,17.5250,-23.5679,-45.0,top
IGNORE1,USB v0.5,BoardText,19.9750,-24.7500,0.0,top
J5,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,3.4700,-13.3500,180.0,top
U1,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,13.0750,-14.4000,90.0,top
R7,75R,R_0402_1005Metric,7.7500,-10.5250,-90.0,top
C8,4.7uF,C_0402_1005Metric,24.1250,-21.1750,0.0,top
J4,swd_4pin,swd_header,5.8500,-23.6000,90.0,top
U2,ME6211C33M5G-N,SOT-23-5,21.6250,-21.5750,90.0,top
R2,5.1K,R_0402_1005Metric,6.9000,-8.0250,90.0,top
C7,12pF,C_0402_1005Metric,17.7000,-20.3000,-135.0,top
IC1,USBLC6-4SC6,SOT-23-6,16.7925,-4.4000,0.0,top
H2,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,22.5000,-2.5500,0.0,top
R4,75R,R_0402_1005Metric,7.2250,-14.8850,0.0,top
C5,4.7uF,C_0402_1005Metric,17.3000,-9.8500,90.0,top
R5,75R,R_0402_1005Metric,16.3250,-7.9750,90.0,top
J6,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,21.2250,-12.5000,0.0,top
Y2,Crystal_16M_small,Crystal_SMD_2016-4Pin_2.0x1.6mm,16.4189,-21.9089,45.0,top
C4,0.1uF,C_0402_1005Metric,13.9750,-20.1250,-90.0,top
C1,4.7uF,C_0402_1005Metric,7.3000,-17.0150,180.0,top
H1,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,2.5000,-22.5000,0.0,top
R6,75R,R_0402_1005Metric,7.2250,-12.9150,180.0,top
J2,USB_C_connector_16P,USB_C_Receptacle_16P,8.9750,-3.1000,90.0,top
R1,5.1K,R_0402_1005Metric,11.1000,-8.0500,90.0,top
Ref,Val,Package,PosX,PosY,Rot,Side
J1,01x06_2.54mm_Male,01x06_2.54mm_Male,2.5000,-12.5000,180.0,bottom
J3,01x06_2.54mm_Female,01x06_2.54mm_Female,24.1000,-12.5000,0.0,bottom
