"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C2,C8,C5,C1";"C_0402_1005Metric";5;"4.7uF";
2;"R12";"R_0402_1005Metric";1;"1.5K";
3;"C6,C7";"C_0402_1005Metric";2;"12pF";
4;"IGNORE1";"BoardText";1;"USB v0.5";
5;"J5,J6";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
6;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8T6";
7;"R7,R4,R5,R6";"R_0402_1005Metric";4;"75R";
8;"J4";"swd_header";1;"swd_4pin";
9;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
10;"R2,R1";"R_0402_1005Metric";2;"5.1K";
11;"IC1";"SOT-23-6";1;"USBLC6-4SC6";
12;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
13;"Y2";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"Crystal_16M_small";
14;"C4";"C_0402_1005Metric";1;"0.1uF";
15;"J2";"USB_C_Receptacle_16P";1;"USB_C_connector_16P";
16;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
17;"J3";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
